2021-01-01,-4.2,-9.8,1.6,47,64
2021-01-02,-5,-8.4,-1.4,58,38.5
2021-01-03,-5.6,-9.1,-2,62,45
2021-01-04,-3.5,-8.4,0.3,46,51.4
2021-01-05,-5.5,-9.9,-2.1,46,52.8
2021-01-06,-7.4,-12,-1.9,46,54.6
2021-01-07,-14.5,-16.5,-8.4,45,49.9
2021-01-08,-14.9,-18.6,-10.7,49,44
2021-01-09,-12.2,-16.6,-7.5,48,46.3
2021-01-10,-7.7,-12.8,-2.7,54,54.4
2021-01-11,-6.7,-9.6,-4,49,62.1
2021-01-12,-3.9,-9.3,-0.5,47,79.5
2021-01-13,2,-3,8.3,48,80.3
2021-01-14,1.7,-3.6,7,49,46.5
2021-01-15,4.5,-0.7,9.9,41,67.4
2021-01-16,-4.9,-8.7,-0.7,48,59.3
2021-01-17,-5.5,-10.8,-1.3,57,58.5
2021-01-18,-3.8,-9.1,0.2,52,64.3
2021-01-19,-6.3,-11.6,-0.2,53,37.9
2021-01-20,-0.1,-6.6,7.1,46,37.8
2021-01-21,4.5,2.5,7,45,64.4
2021-01-22,5.5,4.8,6.6,45,92.9
2021-01-23,7.6,4.8,12.2,50,66
2021-01-24,7.3,2.4,13.9,50,63.9
2021-01-25,7.9,3,13.9,47,62
2021-01-26,5.3,1.7,7.4,49,80.4
2021-01-27,1.7,-1.8,6.5,46,47.6
2021-01-28,-2.6,-9.7,1.4,46,52.3
2021-01-29,-8.8,-11.6,-4.9,42,40
2021-01-30,-1.6,-8.1,5.2,43,60
2021-01-31,3.2,-3.8,8.7,57,57
2021-02-01,5,-2.3,9.5,51,74.5
2021-02-02,-5.6,-8.2,-2.4,46,44.1
2021-02-03,-3.2,-9.4,1.4,46,64.6
2021-02-04,-3.6,-7.4,0.7,44,50.1
2021-02-05,1.4,-4.4,6.7,38,71.8
2021-02-06,6.8,4.3,9.5,41,80.4
2021-02-07,3.6,-2.6,7.7,49,67
2021-02-08,-3.1,-5.4,0.2,38,43.6
2021-02-09,-0.9,-6.1,4.7,33,51.9
2021-02-10,3.4,-1.5,7.2,29,75.1
2021-02-11,5.5,1.3,10.9,35,71.5
2021-02-12,6.5,0.6,14,38,60.6
2021-02-13,7.6,1,15.9,39,50.6
2021-02-14,9.5,6.4,13.8,49,47.6
2021-02-15,1.2,-5.2,8.2,44,65.1
2021-02-16,-5.1,-7,-1.3,43,57.9
2021-02-17,-8.3,-10.4,-5.2,39,44.1
2021-02-18,-5.8,-10.6,-0.4,37,44.9
2021-02-19,1.6,-7.1,8.9,36,66.9
2021-02-20,8.8,5.5,14.9,40,60.4
2021-02-21,10.8,4.7,17.4,45,66.6
2021-02-22,7.8,0.4,12.6,43,58.3
2021-02-23,0,-3.1,4.3,42,34
2021-02-24,2.9,-3,10.1,43,33
2021-02-25,4.2,0.7,8.2,41,35.1
2021-02-26,8.2,0.5,15.8,37,35
2021-02-27,9.5,4.3,16.2,40,48.6
2021-02-28,7.8,3.2,10.8,44,49
2021-03-01,4.7,0.5,9,47,91
2021-03-02,2.3,0.2,6.9,39,75.9
2021-03-03,4.4,-1.2,9.9,38,64.4
2021-03-04,7.2,2.5,13,39,62.4
2021-03-05,9,3,16.2,35,70.3
2021-03-06,6.6,3.2,11.6,41,69.5
2021-03-07,6.2,2.1,12.2,47,62.9
2021-03-08,7,1.5,13.9,44,60.3
2021-03-09,6.6,2.1,12.2,40,58.5
2021-03-10,8.8,1.7,17.1,42,61.8
2021-03-11,10.2,4.7,17.1,41,50.8
2021-03-12,10.5,7.2,14.9,38,57
2021-03-13,9.2,4.6,14.2,41,62.8
2021-03-14,9.1,4.9,14.7,50,71.4
2021-03-15,10.6,5.1,15.7,48,68.8
2021-03-16,8.4,4.9,13.1,44,52.5
2021-03-17,8.8,1.8,17.5,43,44.9
2021-03-18,11.7,5,18.4,46,50.1
2021-03-19,15.3,11.4,20.2,39,47.9
2021-03-20,9.9,7.4,14.7,41,74.6
2021-03-21,5.8,3.1,8.6,47,65.9
2021-03-22,6.2,1.1,11.1,50,55.3
2021-03-23,9.1,2.5,16.4,51,63.5
2021-03-24,10.8,5.7,16.9,44,61.5
2021-03-25,11.9,6.8,19,41,68.5
2021-03-26,12.6,4.8,20.6,38,58.4
2021-03-27,12.1,10.2,15,42,70.9
2021-03-28,9,7.7,13,55,95.8
2021-03-29,10.2,7.3,14.6,46,62.3
2021-03-30,10.8,4.1,18.2,41,47.3
2021-03-31,14.5,5.9,22.9,42,41
2021-04-01,17.7,12,24,51,33
2021-04-02,17.8,12.5,23,40,35.6
2021-04-03,14.9,10.9,18,44,80.8
2021-04-04,11.9,9,15.8,48,65.8
2021-04-05,11.9,5.4,19.3,47,47.9
2021-04-06,13.9,9.4,19.2,50,50.9
2021-04-07,14.1,8.1,20.4,50,47.5
2021-04-08,13,7.2,18,49,34
